Blood group antigen proteins	CD markers	Cancer-related genes	Candidate cardiovascular disease genes	Citric acid cycle related proteins	Disease related genes	Enzymes	FDA approved drug targets	G-protein coupled receptors	Nuclear receptors	Plasma proteins	Potential drug targets	Predicted intracellular proteins	Predicted membrane proteins	Predicted secreted proteins	RAS pathway related proteins	RNA polymerase related proteins	Ribosomal proteins	Transcription factors	Transporters	Voltage-gated ion channels
2	13	35	1	1	98	87	16	19	3	85	31	373	136	75	2	0	2	37	30	4
1	9	40	4	2	94	100	15	13	1	99	29	391	126	68	4	2	5	33	35	4
1	8	40	1	2	100	69	14	21	1	97	37	367	152	71	3	1	4	44	44	0
1	7	40	5	0	94	109	12	19	2	84	34	372	135	78	6	1	8	42	30	3
2	16	36	3	1	101	92	17	16	0	77	37	383	115	66	4	1	6	39	30	3
0	9	41	4	0	84	89	14	13	3	98	34	376	125	75	4	2	3	45	29	2
2	7	46	3	0	96	80	16	20	4	94	32	383	129	71	6	0	6	44	31	2
4	11	39	2	1	90	72	17	18	2	89	31	369	143	51	4	0	3	35	40	1
0	9	42	1	0	96	98	16	19	1	98	36	354	141	82	6	0	5	33	36	3
0	6	50	6	1	100	81	17	23	2	96	29	369	133	85	4	1	4	34	29	2
1	11	36	1	0	103	93	21	17	1	85	36	361	138	92	4	0	2	34	39	3
1	8	39	4	0	87	85	16	16	0	96	23	367	148	70	5	1	3	37	26	4
3	10	37	3	1	105	94	19	21	2	97	36	377	145	72	1	0	3	37	35	3
0	10	37	1	1	98	77	24	16	2	79	32	384	135	59	4	0	1	50	31	2
2	14	43	3	0	111	88	24	19	0	118	32	380	137	91	7	1	6	31	30	5
1	10	46	2	2	94	82	18	18	0	98	29	388	120	75	9	0	2	38	36	5
1	8	52	3	0	93	81	17	19	1	89	23	367	125	80	5	0	2	48	22	2
0	3	48	3	0	93	90	18	16	3	118	27	373	131	79	8	1	4	36	25	1
2	11	48	6	1	97	73	14	21	0	87	23	353	170	72	4	0	5	35	43	1
1	6	47	1	3	94	99	17	8	1	103	34	388	125	60	4	1	5	43	31	2
0	5	38	5	2	97	74	20	26	0	93	28	357	148	69	6	1	7	31	34	5
0	11	45	4	2	104	89	21	21	4	88	30	373	135	67	1	1	3	37	30	4
0	11	36	5	1	99	85	15	21	1	98	31	375	133	74	6	1	5	37	28	5
0	7	38	4	0	85	98	17	20	1	87	23	374	141	77	8	1	8	35	27	6
1	9	46	3	1	102	72	11	13	3	101	30	388	108	62	7	1	4	52	26	7
0	12	44	3	0	102	79	17	21	1	88	41	370	152	66	4	0	2	32	42	4
2	12	39	4	1	89	82	15	20	3	101	24	375	139	61	5	2	5	41	23	5
0	8	49	6	3	88	92	14	21	1	105	40	361	145	79	3	0	7	29	39	7
0	12	38	0	0	98	88	17	19	3	94	31	374	141	70	11	1	8	46	28	3
1	20	40	1	0	89	86	18	16	4	95	30	369	147	82	7	1	7	34	35	4
1	9	42	3	0	91	75	14	15	0	80	23	375	135	68	4	2	3	39	33	4
1	7	37	4	0	86	83	13	17	1	94	28	378	142	61	8	0	4	41	33	2
0	3	34	1	2	101	68	12	18	2	100	30	380	126	77	5	0	3	50	29	4
1	6	34	4	0	87	88	20	11	0	97	30	387	117	66	3	1	5	38	26	4
2	16	44	2	1	98	89	20	24	5	88	33	376	135	81	5	1	7	44	30	4
0	11	31	4	1	101	98	13	11	0	110	38	376	137	68	5	1	6	33	35	4
0	13	42	1	2	92	80	19	16	1	102	29	363	132	71	3	1	3	35	26	4
3	14	45	1	1	91	86	15	14	1	99	36	385	130	82	6	1	6	36	39	3
1	5	47	5	0	101	98	16	16	2	93	29	364	137	68	8	1	5	27	25	6
0	8	51	3	0	103	82	13	20	1	101	28	382	132	81	5	0	6	28	34	3
0	7	42	5	0	95	88	19	14	1	94	31	373	145	70	4	1	4	32	42	3
0	7	43	2	1	94	88	17	18	3	114	30	384	128	64	2	2	6	37	30	0
1	10	44	1	0	97	90	20	18	3	76	32	375	132	75	6	0	5	38	40	5
1	9	44	4	0	81	76	17	19	2	85	24	365	136	83	4	1	1	41	30	5
0	5	43	4	0	78	82	16	14	0	84	23	361	140	76	6	1	2	34	31	7
0	7	50	7	0	99	90	18	19	2	97	24	386	136	68	2	1	6	38	31	7
0	13	42	2	0	96	92	18	15	0	100	33	371	133	72	5	0	1	44	32	0
0	11	41	3	0	84	80	15	25	1	85	21	379	131	61	2	1	5	46	30	4
1	13	52	4	2	106	95	12	24	0	87	33	373	138	63	5	0	5	31	41	0
0	8	34	2	0	88	77	24	20	1	76	22	379	135	71	3	0	1	39	33	2
1	12	42	7	2	101	87	18	16	0	97	33	369	128	81	9	1	5	33	42	7
0	8	46	6	0	104	86	11	23	1	100	33	382	116	76	2	0	1	49	33	2
1	4	34	3	1	91	98	14	11	0	99	34	373	129	64	3	0	4	38	25	3
0	7	43	3	1	84	96	16	20	2	85	29	373	123	90	3	0	11	39	26	3
1	9	41	6	0	106	91	9	12	0	112	41	372	138	82	3	2	4	30	31	1
1	9	45	3	0	89	83	17	21	0	80	30	379	148	65	5	0	2	35	32	5
1	6	44	4	1	103	96	16	20	1	85	35	376	132	71	5	2	2	39	39	3
2	17	52	6	1	98	87	14	16	1	106	28	376	138	69	6	0	5	38	32	1
0	10	41	5	1	101	84	24	26	0	93	40	348	148	83	3	0	6	35	48	3
2	8	48	3	0	112	76	27	22	1	100	36	364	137	74	5	1	2	43	39	4
0	7	33	3	0	94	80	11	19	1	75	38	360	143	62	3	1	4	47	37	1
0	11	50	4	0	101	97	19	18	0	96	38	371	133	77	9	1	8	29	35	5
0	7	41	2	1	93	93	25	14	1	87	30	362	137	79	8	0	9	33	33	6
0	10	49	4	0	91	81	12	21	2	88	33	375	135	62	8	2	5	27	27	3
2	8	46	5	2	87	95	11	12	0	88	32	371	125	64	2	1	1	36	27	2
2	9	38	2	0	91	95	19	15	2	65	25	384	114	73	2	1	4	34	19	1
2	5	46	2	3	85	83	19	23	1	84	27	366	146	71	13	0	3	39	28	1
0	8	47	9	1	105	91	18	12	0	94	42	364	128	86	4	0	9	32	29	2
2	14	47	4	1	99	79	14	19	2	82	37	372	139	62	4	1	2	43	37	4
0	8	44	4	1	96	85	11	20	2	88	35	358	157	72	6	0	1	45	36	2
1	12	48	3	1	99	85	13	20	2	88	34	376	121	74	3	1	2	43	24	3
0	14	41	4	0	95	91	15	21	0	93	30	344	166	70	7	1	7	35	38	3
0	9	53	5	1	87	98	18	17	1	95	28	363	136	75	10	0	4	41	33	7
2	10	47	3	1	96	96	23	17	0	84	29	385	126	78	3	0	4	39	27	3
0	12	47	3	0	89	88	10	15	0	106	28	367	140	92	3	0	3	25	28	3
0	6	47	4	1	94	71	15	25	1	93	25	370	129	66	4	0	3	37	39	2
0	7	42	4	0	87	78	11	19	1	89	32	369	144	61	5	1	6	35	29	5
0	8	42	6	1	88	88	21	19	1	100	31	371	139	83	3	0	5	31	32	2
0	9	49	5	0	110	86	23	16	2	109	27	369	131	67	5	0	4	35	39	2
1	11	38	2	0	106	89	17	19	2	79	37	374	143	70	4	0	5	41	41	3
0	9	51	1	0	95	90	25	14	2	101	32	394	128	64	11	0	8	35	29	6
1	10	42	5	1	82	81	18	20	2	92	24	383	133	81	5	0	2	32	24	6
1	11	40	1	1	92	73	12	21	0	82	26	380	129	60	1	2	4	45	31	3
1	14	48	6	0	81	101	29	19	2	102	27	375	134	69	6	2	7	40	28	2
1	16	40	2	0	78	89	21	16	1	93	27	372	166	76	3	1	4	38	33	8
2	6	50	6	0	95	98	19	19	3	92	31	374	137	74	1	1	5	35	29	1
3	9	35	3	0	104	84	25	16	2	92	32	376	131	80	6	2	2	42	31	8
0	10	43	9	0	106	95	15	13	1	103	39	369	147	85	10	0	4	27	34	4
0	7	44	4	0	95	94	18	20	2	82	35	362	148	77	8	0	8	38	37	2
1	9	40	1	0	104	86	15	16	0	118	25	384	145	72	2	0	5	30	23	1
0	10	42	4	1	99	88	19	19	2	90	27	382	141	75	7	1	6	41	34	7
0	5	45	2	1	98	95	15	14	2	92	28	383	132	64	10	0	3	49	26	1
0	12	48	1	3	103	78	16	18	1	93	30	386	127	57	3	0	3	44	23	3
0	13	55	2	1	98	84	18	17	1	113	33	376	120	78	4	2	4	34	31	6
0	7	46	0	1	104	69	18	18	0	96	26	360	142	69	7	0	10	42	45	2
2	10	49	5	1	92	95	14	11	1	96	39	367	137	72	8	1	2	40	43	1
0	4	49	3	2	99	90	13	18	2	99	30	388	113	71	6	0	3	40	22	4
0	12	36	2	0	99	96	21	20	0	94	36	358	133	77	8	1	4	38	33	3
0	3	46	5	2	92	91	14	13	4	100	32	391	116	66	7	3	5	37	29	4
0	9	41	5	0	86	94	19	17	1	110	29	355	145	89	4	0	2	41	26	3
0	15	43	5	1	106	70	13	17	1	94	29	382	143	66	7	0	3	33	36	3
0	11	41	3	1	105	90	14	23	0	91	33	381	151	60	6	2	7	33	28	2
0	6	48	3	1	109	87	19	16	1	109	33	375	127	73	6	0	9	39	27	1
1	6	40	3	1	85	81	20	26	0	87	18	378	141	56	8	0	6	42	32	6
2	10	57	1	0	109	86	21	19	1	88	36	365	146	66	5	0	1	51	37	2
2	11	41	7	0	88	69	18	20	0	95	28	355	140	78	4	1	6	32	32	4
2	12	48	1	1	107	101	19	12	1	92	40	366	150	70	4	2	4	35	44	4
0	6	33	1	0	89	100	11	19	0	86	41	373	146	54	3	0	1	34	43	3
2	12	42	4	2	92	98	21	15	0	106	27	374	130	77	3	0	3	40	34	2
3	11	30	2	0	78	85	17	27	1	89	21	386	129	64	1	0	2	38	20	1
3	12	31	2	2	90	91	14	13	1	87	30	389	122	62	3	0	4	33	31	5
2	10	50	2	2	81	90	21	20	0	85	29	387	130	68	4	0	7	43	33	2
1	9	40	4	3	88	85	15	13	2	82	29	367	141	72	2	2	6	47	35	4
1	10	33	5	0	102	79	11	14	1	91	25	379	127	75	5	0	2	41	32	3
2	9	50	2	0	82	83	19	19	2	99	20	359	146	82	11	0	3	41	27	3
