Blood group antigen proteins	CD markers	Cancer-related genes	Candidate cardiovascular disease genes	Citric acid cycle related proteins	Disease related genes	Enzymes	FDA approved drug targets	G-protein coupled receptors	Nuclear receptors	Plasma proteins	Potential drug targets	Predicted intracellular proteins	Predicted membrane proteins	Predicted secreted proteins	RAS pathway related proteins	RNA polymerase related proteins	Ribosomal proteins	Transcription factors	Transporters	Voltage-gated ion channels
1	10	37	4	0	96	91	15	11	1	95	39	374	142	72	9	0	5	32	31	2
0	9	46	6	0	89	94	12	11	1	96	28	391	131	63	3	1	4	44	44	1
0	15	47	6	1	107	88	20	23	0	104	45	372	150	83	6	1	7	24	33	3
1	10	61	2	1	101	88	18	17	3	102	36	375	129	67	4	1	5	52	37	5
2	9	37	7	1	90	88	14	16	0	96	35	362	147	78	8	1	4	35	34	2
0	6	43	4	1	105	94	19	19	0	118	40	353	146	85	6	1	6	37	38	4
0	5	42	2	0	89	104	24	19	2	96	35	359	144	84	7	0	2	35	37	4
3	13	50	3	0	97	92	14	20	2	93	38	376	145	65	5	2	2	36	37	3
0	14	41	3	0	89	88	25	19	1	101	30	366	145	66	3	1	3	33	37	6
3	7	48	5	0	96	92	17	18	3	87	20	368	127	83	4	0	1	39	32	5
0	13	46	3	0	88	68	11	20	0	96	31	375	143	60	10	1	4	31	35	4
1	3	45	3	0	106	93	12	12	4	99	37	376	128	86	2	0	8	44	30	0
1	13	41	4	0	90	102	22	19	1	86	35	371	129	71	8	1	2	42	26	3
1	12	36	0	0	89	83	23	24	0	80	26	371	136	69	3	0	7	33	31	1
1	9	47	7	1	96	89	21	21	2	108	32	369	138	78	6	0	5	42	21	2
0	10	40	4	2	101	90	22	23	2	101	35	359	129	78	7	0	8	48	21	3
1	10	35	1	1	91	88	15	15	2	100	26	373	121	80	4	0	5	37	21	0
1	9	45	5	1	110	81	19	17	2	97	27	362	132	74	2	0	6	44	27	1
1	7	48	6	1	101	77	17	12	3	90	36	375	127	65	7	0	4	33	40	7
1	7	46	1	0	78	85	14	24	0	92	25	374	138	67	3	0	6	33	35	2
0	12	33	4	0	94	75	17	18	0	76	28	376	139	69	4	0	6	32	37	6
0	12	41	6	1	101	91	19	17	1	100	37	372	135	66	9	0	5	45	38	5
0	9	35	5	1	97	92	12	19	0	107	30	352	148	84	3	0	8	30	37	4
3	14	39	2	2	91	92	17	22	1	84	32	376	132	78	2	0	4	40	30	4
2	10	51	5	0	98	87	16	16	2	92	26	373	149	57	6	0	5	35	23	0
2	9	49	5	0	86	79	21	21	1	83	28	348	161	92	7	0	5	27	33	5
0	6	53	7	0	93	75	20	20	2	101	28	387	150	67	6	0	5	39	38	6
0	5	46	5	0	85	74	23	25	1	89	24	357	134	76	3	0	3	28	26	0
0	8	37	3	1	115	99	12	15	2	92	48	390	130	76	3	0	6	45	32	2
0	13	43	3	2	92	79	15	24	0	90	31	379	141	78	3	0	5	40	28	1
1	14	48	0	1	99	101	14	14	0	96	39	382	129	72	11	1	6	38	28	4
1	12	36	3	0	102	83	15	26	0	85	36	382	133	60	4	1	5	36	25	2
1	11	36	3	0	89	81	14	16	0	117	33	379	128	62	5	2	6	32	32	4
1	7	35	1	0	87	70	15	22	2	87	34	374	143	77	2	1	3	38	29	4
2	17	43	6	1	99	89	16	16	0	80	33	370	141	61	3	0	4	42	34	5
0	9	41	7	0	84	85	18	29	3	79	21	362	143	59	6	2	4	41	28	2
0	12	41	3	1	91	93	17	15	1	87	32	367	139	60	7	0	4	32	28	2
0	8	41	2	0	80	81	14	21	0	86	28	377	130	58	8	0	6	36	29	0
0	5	42	5	2	95	64	13	24	4	91	36	374	141	71	8	2	5	47	36	4
1	10	51	6	1	98	79	23	19	1	107	26	373	145	84	6	2	4	33	38	2
2	11	38	3	0	117	85	25	23	3	95	44	357	155	90	2	1	1	41	35	1
2	11	46	1	0	98	93	20	24	2	94	32	378	154	61	6	1	6	44	38	4
1	10	45	3	0	108	92	20	10	1	100	29	382	116	80	1	2	4	39	19	4
0	8	35	1	0	82	100	14	17	0	85	31	366	144	67	3	3	4	37	29	4
0	10	44	4	1	99	83	15	19	1	80	33	368	120	69	6	1	5	35	30	2
1	7	40	3	1	84	81	13	21	2	91	30	365	147	64	7	0	1	37	30	1
0	10	33	4	0	104	81	15	18	1	89	36	369	140	81	6	0	4	36	29	2
2	8	39	4	0	83	75	15	19	1	84	28	364	133	85	9	0	7	39	30	1
1	11	37	2	1	82	79	18	26	0	72	20	357	137	79	7	0	8	30	30	6
1	9	49	8	2	85	78	12	19	0	86	30	374	137	74	9	1	7	50	38	2
1	13	45	4	0	104	101	20	23	1	104	42	366	149	70	7	0	2	28	37	2
1	12	44	3	2	91	80	11	16	0	93	29	388	127	68	7	1	7	38	32	2
0	12	37	3	0	94	85	18	22	0	94	32	379	134	62	9	1	1	29	32	3
1	11	40	4	0	90	98	10	15	0	97	40	379	132	78	3	1	5	36	28	4
0	5	55	5	1	99	84	23	19	2	101	35	377	127	80	6	0	3	40	33	2
0	12	45	3	2	103	76	19	18	0	87	28	359	150	66	4	0	4	34	33	6
1	9	41	4	0	89	96	16	15	0	104	33	372	148	79	7	0	5	37	43	5
0	6	37	2	0	94	94	13	23	0	71	34	357	149	88	4	1	4	31	33	2
2	10	55	6	2	105	81	17	17	1	93	29	381	126	70	3	2	3	55	23	1
2	13	39	6	1	82	94	14	23	0	99	30	391	120	79	5	1	2	42	28	3
1	10	31	1	0	89	86	20	24	1	90	30	373	143	68	4	0	3	50	36	6
1	12	41	4	0	96	92	16	17	1	110	28	367	135	85	9	1	6	34	30	3
0	7	44	5	1	92	85	14	17	2	74	30	389	130	81	7	1	3	49	26	5
0	6	42	5	2	106	78	19	19	2	95	30	370	133	91	9	0	5	33	35	1
0	2	38	4	0	106	87	9	16	2	75	36	379	122	86	5	2	6	41	41	5
0	10	46	2	0	88	79	12	24	2	99	33	365	131	90	3	0	3	37	37	3
1	9	36	4	1	82	103	11	19	0	81	37	353	145	87	5	2	6	27	37	5
1	9	41	2	0	80	81	22	20	1	78	21	375	134	66	8	0	3	48	22	3
1	14	42	2	0	87	101	12	11	1	96	32	375	137	62	6	1	3	38	32	7
1	9	52	2	0	108	88	27	16	4	87	42	371	132	77	6	0	4	49	36	2
0	12	42	2	1	106	79	17	19	1	93	35	379	128	67	11	3	4	36	29	4
1	14	40	5	2	81	84	19	21	2	97	25	364	139	80	4	1	5	49	34	5
0	14	40	5	3	102	102	14	23	3	100	37	374	124	73	3	0	2	42	26	0
0	11	37	3	2	109	94	13	14	1	103	40	379	138	62	9	0	6	39	29	4
0	3	47	3	1	98	73	19	18	2	87	22	381	136	62	7	0	4	39	39	6
1	10	44	2	2	89	79	19	17	1	98	25	377	122	80	7	1	4	44	37	3
0	7	37	6	0	107	94	12	18	0	84	40	373	145	71	7	2	6	32	43	0
0	13	59	4	0	97	90	13	13	0	106	33	372	135	90	6	0	5	32	30	3
1	7	46	4	0	86	75	9	11	0	97	28	380	128	88	6	0	4	38	23	5
4	8	42	5	0	95	99	24	25	1	114	35	367	147	81	8	1	1	24	38	5
0	10	40	5	0	100	93	19	19	0	97	34	379	141	71	8	0	5	40	30	1
1	15	39	5	3	105	82	20	20	0	96	45	369	150	68	6	1	6	38	40	1
1	12	45	1	2	104	97	25	12	2	95	33	358	146	72	6	1	5	42	37	3
2	5	41	6	0	86	80	15	11	4	109	23	371	126	78	8	0	2	45	40	4
0	5	50	1	1	116	91	19	22	3	100	47	360	139	77	9	0	2	33	36	6
2	8	41	6	2	101	76	15	16	0	102	26	368	135	84	7	1	4	37	26	2
0	9	35	2	0	80	95	15	20	1	86	26	382	125	70	8	0	5	42	21	3
1	11	43	5	1	84	72	19	24	2	96	32	382	155	71	4	0	6	33	37	3
0	9	56	2	1	107	77	26	19	0	93	31	378	137	79	4	0	6	36	30	2
1	9	34	4	1	97	91	12	13	0	89	28	381	120	74	8	1	2	45	15	4
1	12	31	4	1	86	88	15	18	2	80	28	374	138	72	4	0	2	40	23	4
1	12	37	2	0	97	105	14	22	4	97	35	374	156	68	10	1	4	44	33	4
1	8	53	4	0	91	89	19	12	1	72	26	375	134	67	1	1	1	38	26	3
1	4	52	1	2	117	88	17	18	2	84	39	390	128	57	4	0	2	43	34	5
0	9	52	3	1	99	96	11	20	3	89	39	376	142	60	6	1	6	39	33	4
2	15	54	2	0	93	82	17	20	0	97	27	379	139	75	6	1	8	33	30	4
2	15	45	5	0	112	90	14	23	0	92	41	366	155	69	3	0	3	39	33	4
1	10	44	7	0	90	87	11	22	2	90	29	370	135	81	7	0	5	35	26	3
2	13	41	5	1	110	89	16	20	4	74	28	370	142	83	6	0	4	39	27	4
0	7	39	3	1	96	87	17	16	0	91	34	361	140	73	3	1	2	33	35	1
2	10	51	12	0	98	106	23	13	4	105	39	370	132	84	3	0	3	42	35	4
1	10	35	10	0	95	81	19	15	1	103	35	362	130	82	6	2	9	35	26	2
1	9	36	5	2	95	76	15	15	0	95	35	370	143	76	2	2	7	36	39	5
1	12	40	3	0	99	81	13	26	2	84	36	384	143	73	7	0	5	34	36	2
1	13	41	5	0	97	99	20	24	1	110	29	382	132	70	7	1	3	39	34	1
1	15	46	5	0	96	83	19	19	1	91	30	378	127	74	7	0	8	39	31	4
0	10	44	4	1	89	94	16	12	1	95	35	383	123	77	8	1	6	42	28	1
1	14	38	3	0	100	90	19	13	0	93	36	368	138	77	6	2	6	35	23	2
1	8	29	3	2	93	88	19	20	1	96	30	370	144	52	3	2	6	31	33	4
0	6	33	2	0	93	76	17	17	1	98	32	373	143	66	3	0	4	43	38	5
0	6	30	3	3	91	83	14	12	1	86	28	381	135	66	5	1	3	38	28	5
0	8	40	5	1	93	80	12	17	3	69	36	357	154	84	5	1	2	34	38	5
0	0	38	7	0	104	89	16	15	1	95	39	381	121	69	6	1	4	36	39	4
1	13	38	3	1	91	83	18	23	0	103	30	354	156	79	8	1	7	27	35	4
1	10	36	3	2	94	95	21	15	0	93	27	349	144	90	5	0	2	29	34	6
1	12	57	8	2	87	79	14	29	1	104	33	353	147	81	2	2	6	39	38	3
0	14	38	9	0	96	92	15	15	1	89	32	372	140	89	8	1	7	31	33	2
0	8	48	2	2	93	81	13	19	0	102	29	372	127	93	2	1	6	36	37	5
1	10	38	5	1	90	82	12	20	0	105	27	368	131	88	6	0	6	46	31	1
1	7	36	5	1	95	78	19	13	1	86	32	357	140	72	6	1	4	26	42	3
1	11	41	5	1	93	84	17	30	0	94	30	352	144	99	4	2	8	35	39	2
0	16	46	0	3	101	72	21	17	3	92	26	382	135	71	11	0	8	40	31	2
0	14	40	4	1	96	75	20	20	0	97	29	380	137	74	7	1	5	33	35	2
0	7	43	3	2	81	69	19	18	3	77	20	370	144	72	6	0	7	31	33	3
0	12	36	3	0	77	67	17	15	2	83	24	383	127	58	11	1	5	32	33	7
0	13	51	7	0	82	79	13	14	1	93	29	361	139	87	12	1	3	33	30	4
0	10	43	5	0	102	68	22	18	3	94	24	363	138	72	5	0	2	41	36	5
1	9	37	6	0	94	80	15	12	2	96	29	380	135	66	9	1	5	42	41	4
3	17	53	6	1	105	89	16	19	2	102	35	373	148	76	6	1	2	35	26	3
1	11	35	1	0	77	85	14	24	2	78	35	364	151	82	4	0	4	35	39	5
0	10	32	2	2	73	83	10	14	1	78	21	365	139	82	10	1	2	36	34	2
1	9	41	6	1	103	92	19	9	1	89	30	384	132	69	3	1	3	39	25	6
0	10	47	1	0	91	74	14	20	0	85	22	383	127	68	5	0	3	40	25	3
2	10	30	4	0	97	92	20	19	1	82	32	373	147	71	12	0	3	39	27	2
1	11	35	1	1	76	79	8	24	0	87	27	373	136	60	5	1	4	39	34	3
1	7	38	8	0	89	87	18	12	0	98	32	391	118	67	6	1	5	34	34	2
4	13	40	3	1	116	89	21	15	5	91	43	380	124	84	4	0	9	42	32	3
0	7	53	2	1	74	95	16	19	2	82	30	365	145	74	7	0	5	32	29	4
2	13	47	5	1	92	78	13	23	1	81	27	378	131	60	4	0	8	33	27	2
2	10	42	6	0	90	103	17	17	0	90	30	371	125	82	4	0	3	30	32	4
2	11	50	7	1	97	92	9	11	0	97	37	368	128	81	8	1	4	50	29	4
0	10	44	2	0	86	85	16	17	2	98	21	382	124	57	4	0	5	51	21	4
0	9	53	7	0	90	91	15	20	1	102	33	356	144	80	6	0	4	43	32	3
0	10	47	7	2	103	91	23	16	3	110	41	377	143	56	9	1	8	39	35	4
0	13	49	3	0	85	77	15	20	1	94	27	367	132	73	5	0	4	34	33	2
0	9	36	3	1	86	72	15	12	0	93	23	383	119	78	5	0	6	47	31	5
1	14	39	10	1	98	79	19	22	2	91	39	363	137	89	6	1	2	43	31	4
0	7	35	3	1	107	81	14	21	2	77	41	381	129	72	10	1	8	36	32	5
1	14	42	4	0	96	83	18	16	0	86	29	375	124	78	3	3	1	28	33	5
0	10	33	1	0	93	90	14	26	0	88	37	385	138	66	8	0	0	37	35	2
1	11	47	5	0	95	81	23	15	1	103	31	382	125	75	2	0	3	40	33	2
1	8	41	3	0	81	101	17	21	1	73	35	369	141	73	6	1	5	36	31	6
0	13	39	8	0	89	87	18	14	3	98	30	375	143	78	5	0	6	44	31	6
0	9	47	2	0	104	87	19	28	0	106	32	375	146	70	7	0	5	27	28	3
1	15	49	4	1	117	107	24	15	0	98	42	351	140	65	9	1	4	35	39	5
0	8	45	3	0	96	88	17	24	1	91	36	372	143	71	6	0	4	50	32	1
2	10	40	7	0	88	86	15	21	2	97	39	374	140	76	4	0	4	31	31	1
1	8	45	4	2	98	92	20	17	0	81	31	373	128	70	5	2	2	48	29	2
1	8	42	5	0	81	96	19	19	0	86	28	393	127	63	5	0	2	33	37	3
1	9	55	5	0	105	93	16	9	3	105	31	376	125	75	3	1	6	41	22	3
0	8	44	3	0	81	82	16	19	0	103	25	368	119	67	6	1	5	30	33	5
1	11	47	5	1	97	88	17	11	0	102	28	386	121	68	6	3	3	39	32	5
0	10	50	7	3	107	101	22	21	3	109	46	360	151	75	6	0	5	35	37	5
0	8	36	5	1	86	89	17	17	1	97	25	366	129	80	6	0	3	36	24	2
1	7	45	6	1	92	100	17	16	3	111	33	371	138	83	7	1	2	41	38	0
0	11	49	2	2	103	80	16	21	0	95	24	388	118	77	5	2	3	42	28	0
0	14	43	6	1	88	80	18	17	2	101	24	369	141	78	5	0	4	39	30	5
1	11	37	3	0	104	79	14	27	0	92	26	378	146	69	4	1	3	41	27	3
1	7	44	2	0	93	85	23	14	0	90	25	380	124	76	9	0	4	40	23	1
1	9	34	2	1	95	96	20	18	5	89	43	372	151	69	4	0	3	40	45	7
0	7	45	2	0	98	84	11	15	1	90	36	376	142	74	2	0	3	33	34	5
0	7	52	3	0	112	95	19	19	0	103	40	376	150	79	6	0	4	48	33	5
1	10	41	1	0	99	84	25	21	1	102	36	363	146	66	3	2	6	44	48	4
1	8	40	3	0	86	90	19	22	3	86	27	345	145	87	10	1	4	32	30	1
1	10	33	3	0	98	87	12	24	2	82	33	368	150	69	6	1	7	47	29	4
1	13	51	4	1	95	93	12	17	1	101	28	371	142	66	7	0	2	45	28	2
2	10	51	2	1	87	90	19	19	2	85	27	353	143	79	4	2	9	39	35	5
0	7	39	1	0	80	85	14	16	1	90	28	370	127	80	11	1	6	38	34	1
3	8	42	2	1	87	80	16	18	0	104	27	381	125	65	6	0	9	37	27	1
0	12	36	2	1	89	70	16	13	1	83	21	377	131	91	8	0	1	40	32	5
4	8	40	3	0	99	81	11	23	1	87	35	364	134	78	2	0	4	45	40	1
1	4	36	2	0	97	89	12	22	2	86	28	370	132	77	5	0	5	34	32	2
1	9	48	3	0	96	94	18	15	3	83	35	370	141	73	1	1	4	37	30	1
1	5	40	8	1	100	91	15	9	0	90	28	371	133	77	1	0	3	41	34	4
0	11	38	4	1	101	90	17	16	0	87	37	391	122	69	6	1	2	43	33	2
0	10	52	2	2	87	90	18	14	0	108	23	365	137	77	9	0	3	28	39	4
1	7	34	2	0	90	96	17	16	2	96	26	364	142	74	2	0	4	38	42	4
0	15	50	3	1	114	90	24	14	5	99	37	376	163	72	5	2	4	34	47	4
0	7	37	5	2	90	88	12	16	0	89	31	366	140	74	4	0	4	37	36	1
1	7	43	6	1	89	96	15	13	1	86	28	368	133	92	10	2	5	36	27	2
1	13	42	2	2	113	83	17	26	1	99	35	359	147	72	11	2	2	39	27	1
0	10	53	1	0	90	77	10	18	1	96	27	376	139	76	4	0	5	44	35	2
1	12	38	2	0	112	81	23	21	2	87	40	359	151	71	3	2	9	34	45	3
1	9	40	3	1	77	73	9	20	1	91	30	362	138	62	3	1	2	37	40	1
1	8	37	2	0	84	82	14	19	0	89	38	388	131	68	2	0	3	37	30	6
1	8	48	8	0	93	82	12	21	2	88	31	366	129	81	9	0	4	34	24	2
1	6	37	3	1	83	82	13	21	1	97	27	383	139	70	3	0	7	47	27	5
1	9	52	8	1	83	85	18	17	5	107	24	384	122	79	7	1	9	35	27	1
0	16	45	2	2	101	74	13	24	1	83	31	370	148	71	3	1	6	36	34	7
1	14	45	3	1	102	88	20	11	1	94	30	389	130	62	5	2	9	34	37	2
0	8	34	3	0	99	82	15	19	1	99	36	377	137	63	5	2	3	45	32	5
1	13	39	4	1	97	81	17	16	0	99	38	360	142	86	8	0	5	30	46	4
1	7	44	7	0	96	77	14	15	0	100	28	367	139	71	7	0	6	33	25	3
0	10	39	3	0	110	92	17	23	0	88	36	377	142	66	6	0	4	42	34	3
1	11	33	5	1	99	86	18	24	1	104	30	370	134	76	4	0	10	45	24	3
0	7	37	3	1	76	103	19	19	1	88	29	379	145	56	3	0	2	33	43	3
1	8	36	3	0	93	79	24	21	3	83	29	350	144	76	7	1	1	36	35	2
0	13	44	0	3	88	82	14	11	1	86	34	380	130	66	3	0	2	38	37	6
0	8	40	4	0	91	91	13	14	1	85	32	386	125	72	5	0	5	38	23	4
1	6	36	1	0	93	81	11	30	0	89	39	361	148	72	4	0	6	43	36	5
1	12	40	2	0	107	82	17	16	1	90	34	381	138	76	5	1	5	33	36	2
0	6	46	1	1	99	86	19	17	0	88	27	370	152	75	9	1	4	34	32	3
0	10	39	5	1	99	94	15	17	2	88	35	386	125	70	6	0	4	39	31	7
0	12	39	3	0	96	87	14	13	1	93	31	370	135	67	4	0	10	27	40	4
1	17	55	6	3	94	90	23	17	2	105	29	374	118	82	10	0	5	42	26	2
0	8	35	1	1	90	71	19	27	0	81	34	353	150	75	7	0	2	35	40	4
1	8	43	4	0	96	93	20	19	1	100	31	376	145	76	3	1	3	31	38	3
1	5	47	5	1	107	77	19	18	2	92	29	373	128	86	9	0	1	43	38	5
0	11	39	4	1	96	80	12	22	1	101	30	368	140	81	10	1	3	30	34	3
3	6	41	4	1	82	82	21	15	1	100	25	369	148	65	10	0	4	32	40	5
0	9	46	4	1	105	91	11	19	1	94	36	390	117	85	7	1	2	40	23	0
0	3	43	2	0	81	81	10	12	1	81	28	368	122	87	4	2	7	41	31	3
1	9	49	3	0	96	81	9	20	1	96	32	360	136	84	7	0	4	33	34	3
1	5	50	5	0	93	102	14	15	1	82	35	389	123	66	1	0	3	46	35	2
0	13	53	5	1	114	91	16	17	1	94	40	366	142	73	4	0	3	44	29	6
0	9	43	5	0	87	93	14	18	1	70	30	381	133	77	4	1	4	22	32	3
1	15	41	1	0	101	77	22	19	2	73	31	363	162	62	5	0	5	42	47	4
1	12	46	7	0	85	90	24	24	1	104	34	373	123	71	3	1	3	39	31	3
0	10	42	6	1	105	81	16	16	2	94	31	375	130	70	7	0	3	41	34	3
2	7	29	0	1	83	92	10	19	2	89	26	377	119	70	3	2	5	47	18	2
1	11	51	3	0	95	88	20	12	0	98	29	380	130	74	7	1	3	36	44	4
0	8	39	4	1	96	85	18	19	0	111	28	363	129	75	4	1	6	37	36	3
0	7	39	4	0	91	85	16	15	2	102	26	370	128	79	2	0	5	44	36	1
0	16	45	5	0	97	75	19	18	3	111	35	366	149	66	8	0	9	30	40	2
0	10	44	2	0	108	89	14	20	0	86	42	353	144	77	6	0	6	36	39	3
0	10	37	5	1	101	74	12	13	3	98	29	376	135	67	3	3	5	42	44	4
2	6	49	2	0	94	85	12	20	1	91	31	375	140	70	7	1	4	43	33	5
0	14	43	1	2	106	100	20	15	0	90	33	368	153	66	6	1	6	33	31	5
1	12	46	1	0	92	76	12	20	2	103	23	376	142	76	9	0	3	36	33	2
2	8	40	4	1	106	96	19	18	1	106	43	369	141	74	8	2	4	40	36	1
0	10	41	7	0	80	87	15	18	1	96	26	374	139	69	4	1	10	48	30	1
2	14	45	4	2	112	87	16	19	1	101	37	398	125	66	4	0	12	32	29	3
1	8	56	4	0	92	82	16	21	0	74	27	368	137	72	5	0	5	42	31	3
1	13	50	2	3	96	85	22	26	0	97	34	357	147	69	6	1	5	36	40	3
2	13	31	2	0	100	91	13	18	2	92	34	385	136	82	4	0	6	37	33	3
0	11	51	6	0	105	78	16	16	1	110	37	363	144	72	10	0	5	38	32	6
2	10	39	5	1	84	84	19	18	2	93	26	364	136	73	5	2	5	43	25	6
2	6	45	9	1	83	84	15	17	1	90	34	368	137	73	7	2	7	36	43	4
1	2	39	2	0	86	80	10	13	1	95	33	371	141	76	4	1	6	34	39	2
1	9	47	3	1	87	88	15	24	2	109	34	363	139	65	3	0	6	42	34	4
2	8	44	5	0	94	84	20	13	0	93	36	382	119	87	5	2	4	40	36	4
1	10	35	2	0	106	76	12	30	1	97	30	349	153	89	3	1	0	38	39	3
0	9	52	2	2	90	101	11	19	0	99	46	364	152	75	5	0	5	30	51	3
0	8	51	4	2	93	103	22	21	1	96	33	369	138	61	4	1	6	37	26	3
2	11	39	2	3	103	114	20	18	1	108	36	380	137	71	5	0	2	39	29	5
1	9	41	3	0	95	86	19	19	1	103	31	380	133	70	5	0	5	39	27	6
0	7	38	2	1	80	95	19	23	0	85	31	350	137	74	4	2	3	40	33	2
2	10	36	4	2	89	91	14	16	0	94	31	374	134	63	6	1	5	33	40	1
1	13	52	5	3	104	82	18	24	2	96	30	367	138	71	7	0	6	30	30	4
1	15	44	4	1	88	99	25	19	0	104	24	354	159	84	9	1	5	33	32	1
1	7	33	5	0	92	86	9	19	1	97	34	346	153	78	4	0	4	28	32	2
1	12	47	2	0	102	87	18	21	0	94	33	366	138	87	5	0	1	29	39	6
0	6	38	7	0	110	80	20	14	0	104	31	378	138	83	3	0	7	35	29	5
0	4	44	4	1	101	82	10	25	1	96	34	382	139	86	1	0	8	36	27	4
0	4	43	6	0	103	87	13	12	0	96	29	385	133	69	7	1	7	33	29	3
2	12	35	3	0	104	74	14	18	0	91	40	365	138	79	6	0	6	26	41	4
1	14	44	3	1	97	87	20	16	1	89	32	372	136	71	3	1	3	38	31	6
2	11	39	4	0	106	80	14	13	2	102	29	378	127	71	5	0	6	35	32	4
0	9	40	1	1	93	80	20	10	1	94	33	370	147	67	4	0	5	30	42	4
1	6	38	1	0	95	73	15	25	0	87	31	374	131	70	6	0	6	30	31	4
2	8	54	3	0	87	76	9	10	1	98	31	378	135	74	4	0	5	46	29	3
0	10	45	3	1	108	110	23	11	0	106	40	374	127	72	3	0	5	33	28	3
1	8	38	5	0	104	88	23	16	1	81	43	366	132	89	7	1	3	53	35	5
0	9	43	2	1	106	76	19	15	1	89	35	354	138	83	6	0	4	30	33	4
2	9	43	2	0	103	89	12	16	1	74	37	365	134	59	6	0	2	30	26	7
1	14	45	3	1	101	85	19	15	3	89	35	373	143	68	6	1	4	38	33	4
1	10	43	4	0	104	76	16	8	3	113	35	388	125	75	4	1	7	36	39	3
2	11	41	5	0	89	111	19	11	0	89	28	383	131	68	4	0	2	40	29	5
1	11	54	7	0	98	87	20	18	0	83	28	371	130	72	4	0	2	29	44	3
2	7	39	3	1	94	96	11	14	1	98	43	386	132	68	8	3	4	21	33	4
2	18	44	3	1	89	79	9	23	0	96	30	370	138	76	7	0	11	29	40	5
0	4	45	5	1	86	89	17	14	1	84	32	375	140	74	4	2	5	36	30	3
1	14	50	4	0	105	87	25	22	2	93	29	359	149	71	1	1	3	36	35	3
1	8	28	4	0	79	92	19	18	0	84	26	370	133	87	7	1	3	25	29	2
0	7	46	1	3	78	106	15	23	0	105	33	378	128	68	4	3	6	41	34	2
0	8	51	3	1	100	86	29	21	0	82	30	373	126	80	9	1	9	38	38	4
0	9	50	2	0	112	85	13	9	0	104	42	364	133	90	5	1	8	33	41	2
1	12	40	4	0	87	77	11	19	0	87	30	354	141	70	6	0	4	29	36	5
0	7	47	2	0	104	93	15	19	1	93	30	390	123	83	6	1	5	31	24	4
1	9	49	2	0	82	74	11	20	1	83	22	363	139	68	4	1	3	40	34	3
1	8	40	3	1	96	76	16	25	1	90	29	357	138	73	7	0	3	28	39	2
2	15	47	3	1	84	92	17	29	1	93	31	355	159	81	5	2	7	22	35	2
0	10	50	6	0	90	73	19	22	1	85	27	372	147	81	8	0	6	39	30	5
2	10	40	5	0	90	91	12	15	1	84	31	383	129	77	5	2	7	44	31	4
1	8	39	4	0	91	75	11	25	1	79	29	373	139	70	6	0	7	34	29	1
1	14	40	5	1	93	81	19	30	2	78	29	350	152	78	4	0	2	38	34	5
1	6	42	6	0	105	82	20	23	1	97	26	374	125	74	5	1	2	34	31	6
0	12	50	6	0	111	72	25	13	2	90	28	365	165	81	3	0	2	41	46	8
1	10	47	6	2	92	93	21	16	1	97	32	371	144	72	4	0	4	36	30	1
1	7	54	6	0	106	83	17	26	2	101	38	352	151	78	10	1	6	26	32	6
1	11	37	5	2	100	95	16	14	1	90	32	374	124	78	1	0	2	44	25	1
0	9	37	6	0	125	88	11	16	0	85	47	364	154	73	4	2	2	41	33	2
2	12	36	5	2	108	83	14	22	0	94	39	357	149	84	5	1	5	33	32	3
0	9	45	3	0	94	85	14	16	1	77	32	377	137	78	6	1	9	39	35	0
0	14	40	6	0	107	81	14	16	2	95	30	379	131	74	6	0	2	52	28	1
1	7	43	5	1	93	100	11	14	1	105	31	373	138	69	3	2	6	42	32	1
2	7	30	3	0	88	82	14	18	1	91	23	373	140	68	11	0	3	34	39	4
0	7	51	2	0	86	64	15	17	0	69	29	389	140	53	8	0	3	50	34	6
0	10	46	4	0	105	77	19	29	2	75	37	368	139	72	0	0	1	36	37	5
4	12	48	1	1	80	81	9	19	2	94	23	367	132	84	8	1	7	37	25	4
0	6	39	4	1	89	83	10	17	0	84	33	367	149	74	5	0	4	39	31	3
0	12	49	6	2	78	85	21	12	1	83	25	370	133	84	5	1	6	33	31	3
0	12	50	6	0	105	88	22	17	2	102	29	360	153	75	7	0	3	38	37	5
1	11	29	2	0	87	78	9	21	0	78	26	373	150	63	6	0	7	28	29	4
3	9	45	4	0	92	84	21	19	1	89	32	361	134	83	8	1	6	38	34	4
1	10	47	4	1	107	84	14	15	0	94	30	370	131	68	3	1	5	36	32	3
2	9	50	3	0	99	98	16	19	2	95	29	367	128	78	6	0	6	42	28	6
1	16	47	3	0	90	71	22	20	3	90	29	370	146	70	10	0	2	36	47	6
0	7	47	3	0	102	86	19	15	1	86	37	365	154	71	2	2	2	35	38	5
1	13	37	7	1	91	99	19	16	1	97	27	394	112	77	1	0	2	41	29	6
1	6	46	3	1	88	82	17	16	0	90	33	367	134	68	4	0	4	29	34	1
0	3	39	7	1	97	80	18	23	4	88	30	378	132	69	4	0	3	32	29	2
3	11	33	3	0	92	89	17	27	3	98	32	378	142	66	1	0	3	43	39	2
0	13	38	2	1	97	87	16	14	1	79	25	377	131	61	5	2	10	47	33	3
1	12	53	5	1	99	83	19	20	0	105	28	350	147	86	8	1	3	30	31	5
1	21	51	5	1	101	90	13	16	2	109	31	375	150	73	6	0	4	34	34	3
0	4	47	4	3	101	114	9	19	3	93	37	378	134	72	3	1	4	28	22	3
1	9	51	6	0	103	79	23	15	1	94	25	370	128	74	7	0	3	39	28	4
